Serviço do Google,Descrição do serviço,ID do serviço,Código SKU,Descrição da SKU,Descrição do modelo de consumo,Taxonomia do produto,Descrição da unidade,Quantidade por unidade,Início de uso em níveis,Preço de tabela (R$),
GCP,Cloud Storage,95FF-2EF5-5EA1,AED0-3315-7B11,Network Data Transfer GCP Replication within Northern America,Default,GCP > Storage > GCS > Egress > Replication > Default Replication,gibibyte,1,0,"0,122308058",
GCP,Cloud Storage,95FF-2EF5-5EA1,0D5D-6E23-4250,Standard Storage US Multi-region,Default,GCP > Storage > GCS > Storage > Standard > Multi-Regional,gibibyte month,1,0,"0,159000475",
GCP,Gemini API,AEFD-7695-64FA,E211-E01C-0CB3,EmbedContent input token count for gemini-embedding-001,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini Embedding 001 > Text > Input,count,1000000,0,"0,917310437",
GCP,Gemini API,AEFD-7695-64FA,5CDC-4C82-2AEC,Generate content cached input token count gemini 2.5 flash input short text,Default,GCP > ML Developer > Al Studio > 1P Foundational Models > Gemini 2.5 Flash > Text Caching > Input,count,1000000,0,"0,183462087",
GCP,Gemini API,AEFD-7695-64FA,981A-C057-0BF9,Generate content input token count gemini 2.5 flash short input text,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 2.5 Flash > Text > Input,count,1000000,0,"1,834620875",
GCP,Gemini API,AEFD-7695-64FA,911A-8880-A243,Generate content output token count gemini 2.5 flash short input text,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 2.5 Flash > Text > Output,count,1000000,0,"15,288507299",
GCP,Cloud Logging,5490-F7B7-8DF6,143F-A1B0-E0BE,Log Storage cost,Default,GCP > Ops Tools > Cloud Logging > Logs,gibibyte,1,0,"0,00",
GCP,Cloud Logging,5490-F7B7-8DF6,143F-A1B0-E0BE,Log Storage cost,Default,GCP > Ops Tools > Cloud Logging > Logs,gibibyte,1,50,"3,057701459",
GCP,Cloud Run,152E-C115-5142,4856-B847-F1EB,Services CPU (Request-based billing),Compute Flexible CUD - 3 Year,GCP > Serverless > Cloud Run > Other,second,1,0,"0,000121818",
GCP,Cloud Run,152E-C115-5142,4856-B847-F1EB,Services CPU (Request-based billing),Default,GCP > Serverless > Cloud Run > Other,second,1,0,"0,000146769",
GCP,Cloud Run,152E-C115-5142,4856-B847-F1EB,Services CPU (Request-based billing),Cloud Run CUD - 3 Year,GCP > Serverless > Cloud Run > Other,second,1,0,"0,000121818",
GCP,Cloud Run,152E-C115-5142,4856-B847-F1EB,Services CPU (Request-based billing),Cloud Run CUD - 1 Year,GCP > Serverless > Cloud Run > Other,second,1,0,"0,000121818",
GCP,Cloud Run,152E-C115-5142,4856-B847-F1EB,Services CPU (Request-based billing),Compute Flexible CUD - 1 Year,GCP > Serverless > Cloud Run > Other,second,1,0,"0,000121818",
GCP,Cloud Run,152E-C115-5142,02A2-9231-36A6,Services Memory (Request-based billing),Compute Flexible CUD - 3 Year,GCP > Serverless > Cloud Run > Other,gibibyte second,1,0,"0,000012689",
GCP,Cloud Run,152E-C115-5142,02A2-9231-36A6,Services Memory (Request-based billing),Default,GCP > Serverless > Cloud Run > Other,gibibyte second,1,0,"0,000015288",
GCP,Cloud Run,152E-C115-5142,02A2-9231-36A6,Services Memory (Request-based billing),Cloud Run CUD - 3 Year,GCP > Serverless > Cloud Run > Other,gibibyte second,1,0,"0,000012689",
GCP,Cloud Run,152E-C115-5142,02A2-9231-36A6,Services Memory (Request-based billing),Cloud Run CUD - 1 Year,GCP > Serverless > Cloud Run > Other,gibibyte second,1,0,"0,000012689",
GCP,Cloud Run,152E-C115-5142,02A2-9231-36A6,Services Memory (Request-based billing),Compute Flexible CUD - 1 Year,GCP > Serverless > Cloud Run > Other,gibibyte second,1,0,"0,000012689",
GCP,Cloud Run,152E-C115-5142,0CCB-7057-48DE,Cloud Run GOOGLE-API Data Transfer Out,Default,GCP > Network > Egress > Cloud Run,gibibyte,1,0,"0,00",
GCP,Cloud Run,152E-C115-5142,2DA5-55D3-E679,Requests,Compute Flexible CUD - 3 Year,GCP > Serverless > Cloud Run > Other,count,1000000,0,"0,00",
